N, vanilla-consecutive-write, vanilla-strided-write, blocked-consecutive-write-M4, blocked-strided-writed-M4, blocked-consecutive-write-M8, blocked-strided-writed-M8, blocked-consecutive-write-M12, blocked-strided-writed-M12, blocked-consecutive-write-M16, blocked-strided-writed-M16, blocked-consecutive-write-M24, blocked-strided-writed-M24, blocked-consecutive-write-M32, blocked-strided-writed-M32
24, 0, 0, 0, 0, 0, 0, 0, 0, -1, -1, 0, 0, -1, -1
48, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -1, -1
96, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2
192, 31, 66, 9, 11, 9, 10, 10, 11, 10, 11, 11, 16, 12, 13
384, 134, 306, 42, 88, 48, 48, 48, 49, 49, 54, 55, 53, 56, 85
768, 1226, 2156, 238, 522, 220, 328, 218, 259, 224, 301, 582, 753, 579, 655
1536, 11614, 14760, 2276, 4493, 3371, 6359, 3098, 5777, 3212, 6656, 4560, 6886, 5451, 6386
3072, 51768, 64406, 11649, 19271, 16407, 22792, 16428, 22848, 17605, 23662, 19411, 26777, 24223, 26797
6144, 340402, 260928, 73736, 80641, 74959, 94625, 69678, 108526, 67461, 94398, 74747, 114109, 101485, 105240
12288, 3.22131e+06, 1.10472e+06, 427222, 483229, 369362, 693029, 326835, 432622, 344289, 481804, 1.39637e+06, 552363, 2.57886e+06, 535438
24576, 1.57276e+07, 6.13229e+06, 3.6075e+06, 1.79914e+06, 2.96462e+06, 3.65644e+06, 3.73394e+06, 3.30104e+06, 7.15598e+06, 3.35455e+06, 1.03105e+07, 3.13246e+06, 1.21268e+07, 2.96902e+06
